Run,Time(min),Optimizer,Epochs,Batch_Size,Rescale,Regularizer(L2),Data,Augumentation,Grayscale,accuracy,loss,precision,recall,F1_Score,val_accuracy,val_loss,val_precision,val_recall,val_F1_Score,Comments
-,-,adam,16,32,150,,Original,Yes,No,0.5646,0.9162,-,-,-,0.6048,0.8000,0.5900,0.6000,0.5900,
2024.11.20-2009,7.81,SGD,32,16,100,,Original,No,Yes,0.5927,2.2419,0.6655,0.4256,0.5192,0.6170,2.1891,0.7734,0.4213,0.5455,
2024.11.17-2200,7.31,SGD,50,32,100,0.001,Original,No,Yes,0.6549,1.1510,0.7090,0.5194,0.5996,0.6085,1.2114,0.6835,0.4596,0.5496,
2024.11.17-1222,2.77,SGD,32,32,100,,Original,No,No,0.5868,3.1856,0.6720,0.4322,0.5261,0.5915,3.1885,0.7411,0.3532,0.4784,
2024.11.18-2125,9.40,SGD,50,32,100,,Updated,No,Yes,0.6067,2.2265,0.7043,0.4439,0.5445,0.5885,2.2370,0.6626,0.4444,0.5320,
2024.11.23-1239,14.16,SGD,32,16,100,0.01,Updated,No,Yes,0.5673,1.3699,0.6625,0.3704,0.4751,0.5885,1.3250,0.6556,0.4074,0.5025,"flipped architecture (128, 64, 32, 16, 3 neurons)"
2024.11.17-1215,2.76,adam,32,32,100,,Original,No,No,0.5678,0.9828,0.6766,0.3648,0.4741,0.5872,0.9508,0.7302,0.3915,0.5097,
2024.11.18-2136,9.70,SGD,50,32,100,,Updated,No,No,0.6384,2.2071,0.7167,0.4938,0.5848,0.5844,2.2599,0.6478,0.4239,0.5124,
2024.11.18-2049,10.00,SGD,50,32,100,0.001,Updated,Yes,Yes,0.5479,1.2793,0.6679,0.3133,0.4266,0.5844,1.2035,0.7042,0.4115,0.5195,
2024.11.20-1918,9.19,SGD,50,16,100,,Original,No,Yes,0.6337,1.5959,0.6965,0.4960,0.5794,0.5830,1.6632,0.6797,0.4426,0.5361,Momentum added
2024.11.17-1056,6.01,adam,32,32,100,,Original,Yes,No,0.5407,1.0176,0.6320,0.2579,0.3663,0.5830,0.9817,0.7426,0.3191,0.4464,
2024.11.23-1338,6.63,SGD,32,16,100,0.01,Updated,No,Yes,0.5979,1.9263,0.6880,0.4303,0.5295,0.5802,1.9119,0.6818,0.4321,0.5290,
2024.11.20-2032,8.15,SGD,32,16,100,,Updated,No,Yes,0.5979,1.9263,0.6880,0.4303,0.5295,0.5802,1.9119,0.6818,0.4321,0.5290,
2024.11.18-2114,9.87,SGD,50,32,100,0.001,Updated,No,No,0.7255,1.0133,0.7709,0.6390,0.6988,0.5761,1.2214,0.6359,0.4815,0.5480,
2024.11.20-2023,5.56,SGD,32,16,75,,Updated,No,Yes,0.5779,1.9339,0.6759,0.3862,0.4916,0.5761,1.8827,0.6824,0.4156,0.5166,
2024.11.19-2008,5.04,SGD,50,16,100,,Original,No,Yes,0.6344,1.6033,0.6970,0.4886,0.5745,0.5745,1.6588,0.6424,0.4511,0.5300,
2024.11.17-1018,15.26,adam,32,32,150,-,Original,Yes,No,0.5377,1.0313,0.6630,0.2652,0.3789,0.5745,0.9732,0.8000,0.3064,0.4431,
2024.11.18-2102,10.16,SGD,50,32,100,,Updated,Yes,Yes,0.5350,2.3098,0.6629,0.3075,0.4201,0.5720,2.2136,0.7132,0.3992,0.5119,
2024.11.17-1230,4.27,SGD,50,32,100,,Original,No,No,0.6366,2.5458,0.6976,0.4850,0.5722,0.5660,2.6178,0.6346,0.4213,0.5064,
2024.11.17-1237,2.91,SGD,32,32,100,0.001,Original,No,No,0.6190,1.1951,0.6851,0.4813,0.5654,0.5660,1.2489,0.7373,0.3702,0.4929,
2024.11.17-2145,5.04,SGD,32,32,100,0.001,Original,No,Yes,0.5949,1.2280,0.6670,0.4505,0.5378,0.5660,1.2592,0.7023,0.3915,0.5027,
2024.11.19-2014,4.35,SGD,50,64,100,,Original,No,Yes,0.5707,3.4333,0.6599,0.3795,0.4819,0.5574,3.4331,0.6983,0.3447,0.4615,
2024.11.18-1858,8.93,Adam,50,32,100,0.001,Original,No,No,0.9216,0.4646,0.9285,0.9128,0.9206,0.5489,1.8839,0.5605,0.5319,0.5459,
2024.11.17-1226,3.46,SGD,32,32,100,,Original,Yes,No,0.5179,3.2711,0.6544,0.2469,0.3585,0.5489,3.2121,0.7738,0.2766,0.4075,
2024.11.17-2152,4.78,SGD,32,32,100,,Original,No,Yes,0.5795,3.1820,0.6624,0.4183,0.5128,0.5362,3.2054,0.6721,0.3489,0.4594,
2024.11.17-1124,43.44,adam,32,32,200,,Original,Yes,No,0.3678,1.1271,0.0000,0.0000,,0.2681,1.1405,0.0000,0.0000,,
2024.12.02-2215,7.22,SGD,32,16,100,0.001,Updated,No,Yes,0.6073,1.1726,0.6883,0.4738,0.5613,0.5720,1.2260,0.6688,0.4239,0.5189,